Location Name,Location Number,Business Date,Checks Count,Net Sales,Total Revenue
NLUCY,901,11/1/2021,2,31.92,33.83
NLUCY,901,11/2/2021,4,131.24,139.11
NLUCY,901,11/3/2021,3,65.71,69.65
NLUCY,901,11/4/2021,0,0.00,0.00
NLUCY,901,11/5/2021,16,528.45,556.28
NLUCY,901,11/6/2021,50,"1,429.93","1,488.72"
NLUCY,901,11/7/2021,5,136.61,144.82
NLUCY,901,11/8/2021,0,0.00,0.00
NLUCY,901,11/9/2021,9,260.39,273.87
NLUCY,901,11/10/2021,44,"1,032.13","1,072.42"
NLUCY,901,11/11/2021,5,85.62,90.76
NLUCY,901,11/12/2021,19,553.42,579.70
NLUCY,901,11/13/2021,18,471.75,493.55
NLUCY,901,11/14/2021,5,59.69,61.36
NLUCY,901,11/15/2021,34,"1,146.67","1,207.55"
NLUCY,901,11/16/2021,32,804.64,840.79
NLUCY,901,11/17/2021,27,748.62,789.22
NLUCY,901,11/18/2021,0,0.00,0.00
NLUCY,901,11/19/2021,0,0.00,0.00
NLUCY,901,11/20/2021,25,599.59,622.84
NLUCY,901,11/21/2021,14,445.19,468.00
NLUCY,901,11/22/2021,17,411.86,432.25
NLUCY,901,11/23/2021,42,"1,140.56","1,187.83"
NLUCY,901,11/24/2021,32,937.24,985.31
NLUCY,901,11/25/2021,3,55.78,59.13
NLUCY,901,11/26/2021,17,534.53,565.00
NLUCY,901,11/27/2021,110,"3,113.77","3,264.19"
NLUCY,901,11/28/2021,76,"2,180.74","2,287.35"
NLUCY,901,11/29/2021,52,"1,362.12","1,436.36"
NLUCY,901,11/30/2021,95,"2,573.75","2,691.56"